date,temperature,wind_speed,electricity_demand,PriceArea,electricity_price,day_of_week,month,day_of_year
2020-04-22,9.6,7.1,2922.43,DK1,3.73,2,4,113
2020-04-22,9.6,7.1,2922.43,DK2,4.31,2,4,113
2020-04-23,12.1,9.3,3021.51,DK1,18.17,3,4,114
2020-04-23,12.1,9.3,3021.51,DK2,18.17,3,4,114
2020-04-24,10.7,14.2,2909.57,DK1,10.98,4,4,115
2020-04-24,10.7,14.2,2909.57,DK2,10.98,4,4,115
2020-04-25,8.9,14.8,2808.1,DK1,4.7,5,4,116
2020-04-25,8.9,14.8,2808.1,DK2,4.7,5,4,116
2020-04-26,8.8,10.9,2779.4,DK1,20.23,6,4,117
2020-04-26,8.8,10.9,2779.4,DK2,20.23,6,4,117
2020-04-27,8.9,13.6,2838.24,DK1,16.82,0,4,118
2020-04-27,8.9,13.6,2838.24,DK2,16.82,0,4,118
2020-04-28,9.4,14.1,2931.43,DK1,18.200001,1,4,119
2020-04-28,9.4,14.1,2931.43,DK2,18.200001,1,4,119
2020-04-29,6.5,24.8,3010.46,DK1,16.76,2,4,120
2020-04-29,6.5,24.8,3010.46,DK2,16.76,2,4,120
2020-04-30,7.9,25.9,2954.6,DK1,7.3,3,4,121
2020-04-30,7.9,25.9,2954.6,DK2,7.3,3,4,121
2020-05-01,8.5,10.1,2991.75,DK1,3.82,4,5,122
2020-05-01,8.5,10.1,2991.75,DK2,4.72,4,5,122
2020-05-02,8.9,11.2,2779.61,DK1,10.0,5,5,123
2020-05-02,8.9,11.2,2779.61,DK2,10.0,5,5,123
2020-05-03,9.9,17.6,2729.24,DK1,7.75,6,5,124
2020-05-03,9.9,17.6,2729.24,DK2,7.75,6,5,124
2020-05-04,8.5,17.0,2897.33,DK1,6.78,0,5,125
2020-05-04,8.5,17.0,2897.33,DK2,6.78,0,5,125
2020-05-05,8.2,19.9,2961.95,DK1,16.98,1,5,126
2020-05-05,8.2,19.9,2961.95,DK2,17.200001,1,5,126
2020-05-06,9.3,22.0,2952.07,DK1,19.540001,2,5,127
2020-05-06,9.3,22.0,2952.07,DK2,20.0,2,5,127
2020-05-07,10.9,15.9,2897.79,DK1,6.12,3,5,128
2020-05-07,10.9,15.9,2897.79,DK2,18.57,3,5,128
2020-05-08,11.5,16.6,2824.74,DK1,16.0,4,5,129
2020-05-08,11.5,16.6,2824.74,DK2,20.040001,4,5,129
2020-05-09,11.4,8.2,2688.01,DK1,20.889999,5,5,130
2020-05-09,11.4,8.2,2688.01,DK2,20.889999,5,5,130
2020-05-10,11.9,17.3,2652.94,DK1,19.1,6,5,131
2020-05-10,11.9,17.3,2652.94,DK2,19.1,6,5,131
2020-05-11,7.0,25.2,2853.61,DK1,0.13,0,5,132
2020-05-11,7.0,25.2,2853.61,DK2,0.13,0,5,132
2020-05-12,6.6,20.7,3052.34,DK1,8.83,1,5,133
2020-05-12,6.6,20.7,3052.34,DK2,18.059999,1,5,133
2020-05-13,6.7,12.4,3056.98,DK1,20.459999,2,5,134
2020-05-13,6.7,12.4,3056.98,DK2,20.459999,2,5,134
2020-05-14,7.5,19.9,3134.09,DK1,16.75,3,5,135
2020-05-14,7.5,19.9,3134.09,DK2,16.75,3,5,135
2020-05-15,9.3,24.5,3023.81,DK1,11.6,4,5,136
2020-05-15,9.3,24.5,3023.81,DK2,17.030001,4,5,136
2020-05-16,9.7,30.7,2873.71,DK1,9.12,5,5,137
2020-05-16,9.7,30.7,2873.71,DK2,9.12,5,5,137
2020-05-17,10.4,28.9,2752.23,DK1,8.47,6,5,138
2020-05-17,10.4,28.9,2752.23,DK2,8.47,6,5,138
2020-05-18,10.8,15.1,2858.47,DK1,14.01,0,5,139
2020-05-18,10.8,15.1,2858.47,DK2,14.01,0,5,139
2020-05-19,11.0,19.2,2981.4,DK1,16.16,1,5,140
2020-05-19,11.0,19.2,2981.4,DK2,16.16,1,5,140
2020-05-20,10.5,7.3,2960.01,DK1,16.059999,2,5,141
2020-05-20,10.5,7.3,2960.01,DK2,21.58,2,5,141
2020-05-21,11.3,12.7,2847.08,DK1,17.290001,3,5,142
2020-05-21,11.3,12.7,2847.08,DK2,17.290001,3,5,142
2020-05-22,12.7,28.0,2689.74,DK1,15.5,4,5,143
2020-05-22,12.7,28.0,2689.74,DK2,15.5,4,5,143
2020-05-23,13.1,18.7,2751.68,DK1,10.87,5,5,144
2020-05-23,13.1,18.7,2751.68,DK2,10.87,5,5,144
2020-05-24,11.4,22.8,2655.21,DK1,-8.77,6,5,145
2020-05-24,11.4,22.8,2655.21,DK2,-8.77,6,5,145
2020-05-25,12.7,16.4,2848.51,DK1,4.01,0,5,146
2020-05-25,12.7,16.4,2848.51,DK2,8.03,0,5,146
2020-05-26,12.4,9.7,2865.75,DK1,21.41,1,5,147
2020-05-26,12.4,9.7,2865.75,DK2,21.41,1,5,147
2020-05-27,13.0,15.2,2850.78,DK1,21.4,2,5,148
2020-05-27,13.0,15.2,2850.78,DK2,21.4,2,5,148
2020-05-28,13.1,12.5,2907.49,DK1,15.45,3,5,149
2020-05-28,13.1,12.5,2907.49,DK2,16.200001,3,5,149
2020-05-29,12.9,9.2,2911.6,DK1,18.219999,4,5,150
2020-05-29,12.9,9.2,2911.6,DK2,18.219999,4,5,150
2020-05-30,13.2,9.9,2821.13,DK1,15.06,5,5,151
2020-05-30,13.2,9.9,2821.13,DK2,15.06,5,5,151
2020-05-31,14.8,13.9,2697.04,DK1,11.76,6,5,152
2020-05-31,14.8,13.9,2697.04,DK2,11.76,6,5,152
2020-06-01,15.8,10.8,2647.89,DK1,9.8,0,6,153
2020-06-01,15.8,10.8,2647.89,DK2,9.8,0,6,153
2020-06-02,17.7,15.0,2854.02,DK1,14.99,1,6,154
2020-06-02,17.7,15.0,2854.02,DK2,14.99,1,6,154
2020-06-03,13.6,13.7,2955.82,DK1,22.719999,2,6,155
2020-06-03,13.6,13.7,2955.82,DK2,22.719999,2,6,155
2020-06-04,14.6,28.3,2915.06,DK1,19.610001,3,6,156
2020-06-04,14.6,28.3,2915.06,DK2,19.610001,3,6,156
2020-06-05,13.0,20.8,2823.01,DK1,4.41,4,6,157
2020-06-05,13.0,20.8,2823.01,DK2,17.059999,4,6,157
2020-06-06,11.9,25.8,2726.01,DK1,1.32,5,6,158
2020-06-06,11.9,25.8,2726.01,DK2,1.32,5,6,158
2020-06-07,13.7,16.5,2618.39,DK1,14.93,6,6,159
2020-06-07,13.7,16.5,2618.39,DK2,14.93,6,6,159
2020-06-08,13.5,6.8,2734.24,DK1,22.01,0,6,160
2020-06-08,13.5,6.8,2734.24,DK2,22.01,0,6,160
2020-06-09,13.9,8.4,2809.59,DK1,24.08,1,6,161
2020-06-09,13.9,8.4,2809.59,DK2,24.08,1,6,161
2020-06-10,15.5,13.6,2833.01,DK1,22.610001,2,6,162
2020-06-10,15.5,13.6,2833.01,DK2,22.610001,2,6,162
2020-06-11,17.6,20.2,2854.78,DK1,21.07,3,6,163
2020-06-11,17.6,20.2,2854.78,DK2,21.07,3,6,163
2020-06-12,17.1,23.1,2879.15,DK1,17.09,4,6,164
2020-06-12,17.1,23.1,2879.15,DK2,17.09,4,6,164
2020-06-13,17.7,28.2,2749.04,DK1,18.700001,5,6,165
2020-06-13,17.7,28.2,2749.04,DK2,18.700001,5,6,165
2020-06-14,17.3,22.4,2622.32,DK1,0.79,6,6,166
2020-06-14,17.3,22.4,2622.32,DK2,3.33,6,6,166
